name,id,all_review_count
김명자낙지마당 강릉점,72020434,634
샵도쿄시장 강릉교동점,1443450239,631
강릉뚝배기,31267215,630
산촌,15364392,627
초당화,1582541943,626
강릉불향쭈꾸미,36266633,624
꿀꺽,1188604096,614
호해,1479763913,609
강릉진국가마솥설렁탕,19901360,604
주문진순이네,15380566,602
일조일석감자탕,11596944,600
미역국 전문점 안목애,1084805019,596
동부감자옹심이,15304751,595
강릉대관령감자옹심이,1798114957,590
고래섬,15333554,589
영진댁,1658810393,583
부산조방낙지,1557591875,581
영진항,1888740640,573
초당꼬마김밥 강릉점,1824668746,559
얌샘김밥 강릉유천점,1463097899,555
현대옥 강릉역점,1429179004,555
두끼 강릉점,1438330569,554
형제매운양푼갈비,12912326,547
명경막국수,1657903037,546
소락,1436289883,544
노래곡막국수,11626341,541
산이장칼국수 포남동1호점,38521522,541
주문진신짬뽕,38314569,539
달떡볶이 강릉중앙점,1508958502,538
강릉 교동식당,1488381938,538
삼미식당,20357470,530
굴사랑 교동택지점,11550609,527
곱창집,15297087,512
정동진심곡쉼터,15368789,510
주문진남매식당,1598577565,509
강릉새우,38001155,507
신리면옥 강릉점,12788417,505
원조칼국수,31096902,502
동일장칼국수 내곡점,37628157,489
현자네해물촌,15360393,488
안현가,1511206408,486
소담낙지 강릉경포,1190165195,484
기동이네장칼국수,15323231,479
옛날삼교리막국수,37072842,479
봉화산설렁탕 교동점,1901843013,478
원영생선구이,1062358382,474
초당본가짬뽕순두부,1966143636,468
복마니찐빵집,21741555,467
솔바람텃골,36892469,461
미선이네감자옹심이,30949194,457
빛고을식당,15328404,455
난설헌메밀촌,37640620,454
초우당막국수,2031941952,454
고향횟집,12899212,451
강산푸드 정가미,1133159525,450
강릉초당불향쭈꾸미,810967001,447
진고개냉면,15373932,446
병산감자옹심이,15349399,442
솔향육개장,21513703,442
김윤미전복삼계탕 강릉본점,20364475,441
갯벌의조개 강릉점,1395796249,441
솔담편백찜 강릉교동점,1358347533,440
교동순대국밥,1915717477,438
마운틴 화덕피자,1175159881,437
강릉장칼국수 본점,1142180301,433
칠봉산자락,1705520679,433
사천면옥,15372194,425
마카,1871376352,423
월성식당 2호점,1539087797,419
만야수산 경포대본점,2098103072,416
강릉전집,58248179,410
산두꺼비,15321466,409
BHC치킨 성덕점,1584886451,404
해랑대게횟집,33133925,403
병천황토방순대 초당점,12926077,403
병산닭발과부침개,31799277,401
남매식당,15318709,401
나폴리선생in교동,37056132,401
본죽&비빔밥cafe 강릉입암점,1274361921,397
아라담횟집,15349625,396
뚝배기양평해장국 포남점,1811935710,394
산마을,15376068,394
공주네,1872904347,394
최가네한방능이백숙,1947576841,393
만선포차 강릉점,1201841301,390
금화식당,1678255482,387
초당미소,1318014150,383
곽가네시오야끼,20264800,383
우리한우상회 강릉유천점,1209433896,382
문화식당,15295834,382
장군시오야끼 교동직영점,37917721,382
동해일미,15288728,380
이삭토스트 강릉교동점,31442589,379
한솥도시락 강릉원주대점,30968979,379
킹콩부대찌개 강릉교동점,33251611,378
보래미즉석추어탕,1240841981,375
원조민속초당순두부,12044816,375
어부네코다리조림 강릉내곡점,1982635458,373
산마루황태촌,1395972978,372
송정추어탕칼국수,15388186,370
점봉산산채산나물천국,15327169,369
강릉중앙분식,1086225708,368
선열해장국,15303183,368
스시교코,1563178271,367
김밥천국 임당점,1670400618,366
송천식당,15374085,365
성산대구머리찜,15389140,360
솔향기,1823998778,358
구정막국수 강릉점,1813413225,356
은하수구락부,1131992941,355
소담흑염소,15325727,355
홍돼지국밥 본점,12013574,350
우미관 강릉본점,20322986,350
메밀향기,37698425,350
감자마을,1104323584,349
킹콩부대찌개 내곡점,1718999270,349
밤마차 교동점,12042486,348
보영이네해물칼국수 강릉점,20956496,348
불개미식당,1622671621,346
강릉두부마을,1169873489,345
대게한마당주문진본점,34105205,345
100년 소머리곰탕,36541810,342
해물파는삼촌,37191640,342
국수나무 강릉교동점,21445327,340
복짬,15389360,340
솔올부대찌개,15310589,340
별미순대국,20739491,338
계륵장군 유천점,1604871899,337
바담냉면 강릉본점,2096131729,336
그옛날초당순두부,1265044520,335
장어정각,1311691306,333
탑스텐 뷔페포세이돈,1560905890,332
주희네의정부부대찌개,15344738,327
혜진식당1호점,1279285512,325
초당가국수,1042880745,324
송천휴게소,15374062,322
능나도회냉면,1190849182,322
함지네먹거리,1375694513,322
백암왕순대,1334298702,320
반구정참숯민물장어,19949637,319
조부동막국수,1948284531,318
강릉본가뒷고기,36660889,317
배꼽시계,1771946366,316
본죽 강릉유천점,1836672984,315
강릉전복영양솥밥화덕생선구이,1065842255,313
남향막국수 본점,15351961,310
신촌장칼국수,31925410,309
바다향기가,1056043215,307
다이닝원 강릉점,1495644418,307
삼우옹심이,15349253,304
양마니명동찌개마을 내곡점,1757070641,304
방일해장국 옥천점,1458809246,303
안목해변 술집 문문,1165823672,300
해루참치,38324399,300
솔담한정식 강릉본점,35700874,300
형분식한식,12038496,300
소금강 송이랑능이랑,1960151360,294
강릉 낭만게장&백숙,631054551,291
핵밥 강릉교동점,1224130101,291
육반장 주문진점,36911308,291
교리단초밥,1535120123,288
까막장이야기,804014354,287
금광리소양가든,34642909,287
장수루양꼬치 강릉점,1740512409,285
선풍,35363966,284
개두릅장칼국수,21226036,283
명가찜,37112546,283
주문진 상희네횟집 홍게무한리필,318625076,281
본가마산아구찜,20358529,280
곱창전골명가도계물닭갈비,436974851,278
본도시락 강릉교동점,1126917861,277
수상한식당,1367787468,277
갯마을식당,1868103084,277
여우애김밥 강릉송정점,1524056023,277
싱글벙글찜,1664122091,277
안주가 강릉교동점,1236764160,276
1300도씨짬뽕&떡볶이,1218080909,275
오복수산,1904814124,275
가마솥강릉설렁탕,1247735849,274
초당민들레,1359335955,273
