name,id,all_review_count
강릉 영진을담다펜션,10045804,134
강릉 카루89펜션,3002709,131
강릉 더강릉오션스테이 First,10057059,130
강릉 베이스캠프카라반,10042157,130
강릉 바다숨펜션,10055818,130
강릉(정동진) 정동캐슬,3017013,129
강릉 경포엔펜션,3013122,128
강릉 하쿠나마타타풀빌라,10046257,125
강릉 마운틴,1000114471,125
강릉 클레이하우스펜션,3014394,125
강릉 소돌23풀빌라,10041201,123
강릉 W 독채펜션,3009971,122
강릉 스테이구구펜션,10051477,120
강릉 린펜션,1000103201,117
강릉 바우골펜션,3003564,116
강릉(정동진) 바다여행,10040426,114
강릉 수와래애견동반펜션,10045710,112
강릉 휴가펜션,3004405,111
델타호텔(DeltaHotel),10044330,107
강릉(정동진) BONHEUR(보네르),10042411,105
강릉 오릿,10060075,105
강릉 옥상달빛펜션,3004935,103
강릉 브라운도트 강릉교동점,10059643,101
강릉 그란데마레풀빌라,10053877,100
강릉(정동진) 다우리조텔,1018974,99
강릉 휴식료칸풀빌라,10052218,97
브이브이 호텔,3015431,97
강릉 당신의안목펜션 주문진점,10051817,94
강릉 호텔보름,10058524,92
강릉 브라운도트 호텔 강릉역점,10053607,88
강릉 경포비치힐펜션,10056110,88
강릉 라우머펜션,1000113746,88
강릉 페리아902키즈가족스파펜션,10043398,87
강릉 웨이블루스파펜션,10055377,87
강릉 단잠,10059487,86
강릉 게스트하우스 뮤,1000104370,85
강릉 라벨르호텔 프리미어 강릉역점,3000446,84
강릉 아이리스스파펜션,3006888,84
강릉 쏠하우스펜션,10045431,83
강릉 호텔료칸스테이,10061309,82
강릉 더강문풀빌라,10046855,82
강릉(정동진) M,1019726,81
강릉 글래드펜션,10045118,80
강릉 경포대 강릉모텔,3015725,79
강릉 지브펜션,10060838,76
강릉 초록민박스파펜션,3006291,76
강릉 지탑펜션,1000113747,76
강릉 정동진태화펜션,3002563,75
강릉 H9스파펜션,10054721,75
강릉 호텔벗,10063201,74
강릉 레이벨류스파펜션(안목 커피거리),10060859,74
강릉 씨앤블루펜션,1000093702,73
강릉 퀴스테스파&풀빌라펜션,10047492,73
강릉 경포대 MGM,27511,72
강릉 HELLO4000펜션,10042960,71
강릉 다비앙스파펜션,3012759,69
강릉 경포별빛연가펜션,3017908,69
강릉 오리아뜰리에풀빌라,10059249,69
강릉 스테이올라펜션,10053134,69
강릉 경포솔향기펜션,1000090928,69
강릉 해솔내음펜션,3013312,69
강릉 이지비야펜션,3005705,66
강릉 경포디슬로펜션,10058375,65
강릉 KN하우스펜션,3016924,63
강릉 해모로펜션,3006007,63
강릉 안목커피거리카라반캠핑,10044085,62
강릉 돌고래스파펜션,10039612,61
정동진 썬 게스트하우스,3007404,61
신라모노그램 강릉 호텔,10063556,57
강릉 오션뷰공간스테이,10061524,57
강릉 나이아드펜션,10060848,56
강릉 산호펜션,10044900,56
강릉 정동진풀빛향기애견펜션,3009459,55
강릉 here365,10051821,54
강릉 정동진빌리언스펜션,3004906,54
강릉 소금강여울목펜션,1000088950,54
강릉 페리아902 오션뷰스파애견동반 펜션,10055694,53
강릉 펜션바우,1000106256,53
강릉(주문진) 주문진 호텔,1000174,53
